
Found 659 roles matching your search:

 Name                                              Description
 ----                                              -----------
 0ta2.php_role                                     Setup PHP
 tenequm.php                                       PHP installation role.
 aadl.docker-php-fpm-alpine                        Ansible role to manage and run the alpine php docker container.
 aaronpederson.ansible-php7                        PHP 7 is the latest version of general-purpose scripting language that is popular in web development.
 aaronpederson.php                                 PHP is a popular general-purpose scripting language that is popular in web development.
 infOpen.phpmyadmin                                install phpmyadmin package
 adarnimrod.mod-php                                Provision PHP application server using Apache with mod-php
 adarnimrod.mod-php7                               Provision PHP7 application server using Apache with mod-php7
 adarnimrod.php5                                   Install PHP5 (cli, not mod-php nor fpm)
 adarnimrod.php7                                   Install PHP7 (cli, not mod-php nor fpm)
 adarnimrod.php7-fpm                               Provision PHP7 FastCGI (FPM)
 adarnimrod.php-fpm                                Provision PHP FastCGI (FPM)
 adfinis-sygroup.php_fpm                           This role is used to install and configure php-fpm on CentOS
 AerisCloud.php                                    Installs PHP on a server
 A-j-K.php-install                                 Deploys PHP 7.1 CLI
 Akellacom.role-telesales-phpmyadmin               Install phpMyAdmin in directory /var/www/phpmyadmin
 Akman.php_mcrypt                                  mCrypt package for php on Linux
 AlbanAndrieu.phpvirtualbox                        A role for installing phpvirtualbox
 alexey-medvedchikov.php5                          Install and manage PHP5 environment using php5-fpm
 alikins.apache_php_fpm                            Apache 2.4+ PHP-FPM support for Linux.
 alikins.php                                       PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 alikins.php_memcached                             PHP Memcached support for Linux
 alikins.phpmyadmin                                phpMyAdmin installation for Linux
 alikins.php_mysql                                 PHP MySQL support for Linux.
 alikins.php_pear                                  PHP PEAR library installation.
 alikins.php_pecl                                  PHP PECL extension installation.
 alikins.php_pgsql                                 PHP PostgreSQL support for Linux.
 alikins.php_redis                                 PhpRedis support for Linux
 alikins.php_tideways                              Tideways PHP Profiler Extension for Linux
 alikins.php_versions                              Allows different PHP versions to be installed.
 alikins.php_xdebug                                PHP XDebug for Linux
 alikins.php_xhprof                                PHP XHProf for Linux
 alvistack.php                                     Ansible Role for PHP Installation
 amine7777.php                                     This role installs PHP on your linux machine.
 aminvakil.php_initial                             Installs and Configures PHP on Debian Buster
 amtega.php                                        Role to setup PHP 7.x
 andrelohmann.apache_php                           ansible galaxy role to install deb.sury.org php and apache
 andrelohmann.sury_php                             ansible galaxy role to install deb.sury.org php repo
 andyceo.php                                       Install php, its modules and provide usefull settings for it
 andyceo.php-cs-fixer                              Install PHP Coding Standards Fixer
 andyceo.phpmyadmin                                Install phpMyAdmin - web tool for managing MySQL databases.
 announce.newrelic-php                             New Relic PHP Agent role / Application monitoring for RHEL/CentOS, Ubuntu, Debian
 ansible-city.php                                  PHP and FPM instalation
 ansistrano.mini_php_app                           Role for a stateless NGINX and PHP application running CentOS 7 on DigitalOcean with Let's Encrypt support
 antonchernik.php-fpm                              Install and configure php fpm, php cli and configure php fpm pool
 antonchernik.php-gearman-client                   Install php gearman client
 antoniobarbaro.php                                Install php
 antoniobarbaro.phpmyadmin                         Install phpmyadmin
 aosmialowski.php                                  Ansible role that installs/configures PHP on Ubuntu.
 apham0001.php                                     PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 ansiro.apache-php                                 This Ansible Simple Role install Apache and PHP. It also allow install php packages and apache modules.
 astsu777.ansible_role_phpmyadmin                  Install and configure PHPMyAdmin
 AttestationLegale.php-fpm                         Php-fpm management
 augustohp.php                                     Installs and configures PHP (+FPM), flexible configuration and sensible defaults.
 awcrosby.apache_php_fpm_ok                        Apache 2.4+ PHP-FPM support for Linux.
 axelitus.php                                      An ansible role to provision PHP in a server.
 barami.sury_php                                   Install deb.sury.php repository for php
 bas-ansible-roles-collection.php5                 Installs and configures PHP 5 with selected extensions and the Composer package manager
 bas-ansible-roles-collection.php5-ext-postgresql9 Bridging role to use PHP 5 with PostgreSQL databases
 bas-ansible-roles-collection.php5-nginx           Bridging role to use PHP 5 with Nginx using PHP-FPM
 bas-ansible-roles-collection.php7                 Installs and configures PHP 7 with selected extensions and the Composer package manager
 bas-ansible-roles-collection.php7-nginx           Bridging role to use PHP 7 with Nginx using PHP-FPM
 bearandgiraffe.php                                Installs PHP
 benjamin-smith.ondrej-php-repo                    Installs the ppa:ondrej/php repo on Ubuntu systems
 benlipp.php7                                      Installs and configures PHP 7 on Ubuntu servers. Forked from itcraftsmanpl.php7
 enrise.php                                        A role for installing and configuring PHP.
 bodsch.php                                        ansible role to install and configure php-fpm
 boutetnico.elastic_apm_agent_php                  Install Elastic APM PHP agent.
 bpresles.php                                      PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 bpresles.php-xdebug                               PHP XDebug for Linux
 brgalloway.phpipam_api                            Get available ip from phpipam and reserve returned ip address
 bubebyte.remi_php74                               Ansible role to install and configure php74 from remi repository on CentOS.
 buluma.ansible-role-apache-php-fpm                Apache 2.4+ PHP-FPM support for Linux.
 buluma.php                                        Install and configure php on your system.
 buluma.php_fpm                                    The purpose of this role is to install and configure php_fpm on your system.
 buluma.php_memcached                              PHP Memcached support for Linux
 buluma.phpmyadmin                                 phpMyAdmin installation for Linux
 buluma.php_mysql                                  PHP MySQL support for Linux.
 buluma.php_versions                               Allows different PHP versions to be installed.
 CarlosLongarela.php7                              PHP 7.x fpm install and configuration.
 CarlosLongarela.phpmyadmin                        Installation and configuration for PhpMyAdmin.
 silpion.php                                       Manage PHP configuration on Ubuntu and CentOS including extensions in various versions.
 webarch-coop.phpmyadmin                           Ansible role for installing and upgrading phpMyAdmin on Debian
 chriskite.newrelic-php                            New Relic PHP5/Nginx Agent
 chrsclmn.php                                      PHP 7.0 for Apache 2.4 on Ubuntu 16.04
 chusiang.php7                                     Deploy PHP 7 (php-fpm) for nginx on Ubuntu, Debian and CentOS. (forked from itcraftsmanpl.php7)
 City-of-Bloomington.php                           Role for maintaining PHP on Ubuntu
 cloud3rsio.php                                    install php
 cloud3rsio.phpbuild                               setup php-build
 clouddrove.ansible_role_docker_php                This Ansible role install PHP On Ubuntu, CentOS Amazon-Linux With Docker
 clouddrove.ansible_role_docker_php_node_exporter  This ansible role is used to install Redis server into Docker.
 clouddrove.ansible_role_php                       This ansible role for install php.
 cloudweeb.php                                     Install PHP on Linux server
 CoffeeITWorks.ansible_phpipam                     An Ansible role that installs/configures phpIPAM http://phpipam.net/
 colstrom.php                                      PHP is a popular general-purpose scripting language that is popular in web development.
 colybri.php                                       Deploy for install or configure any php version for Nginx or Apache interface on Ubuntu distro
 conn.php5-fpm                                     configures php5-fpm
 conn.php7-fpm                                     configures php7-fpm
 cowops.debian-php-apache                          Install Apache 2 PHP module for debian system
 cowops.debian-php-extensions                      Install PHP extensions for debian system
 cowops.debian-php-fpm                             Install PHP 7 FPM for debian system
 cowops.debian-php-hhvm                            Install Php-hhvm for debian system
 cowops.debian-php-maxmind-geoip                   Install Php-maxmind-geoip for debian system
 cowops.debian-php-newrelic                        Install Php-newrelic for debian system
 cowops.debian-php-phalcon                         Install Php-phalcon for debian system
